"","Sample","factor","donor","tss_up_5kb_total_bases","tes_down_1kb_tags_kb","X3_utr_exons_tag_pct","tss_up_1kb_tag_count","tes_down_5kb_tags_kb","tes_down_5kb_tag_count","introns_total_bases","tss_up_10kb_tags_kb","tes_down_10kb_tag_count","tes_down_5kb_tag_pct","cds_exons_total_bases","tss_up_5kb_tag_pct","tes_down_1kb_tag_pct","cds_exons_tag_pct","total_assigned_tags","other_intergenic_tag_count","introns_tag_count","X5_utr_exons_tag_pct","X3_utr_exons_total_bases","tes_down_1kb_total_bases","introns_tags_kb","tss_up_10kb_tag_pct","tes_down_5kb_total_bases","tes_down_10kb_tags_kb","introns_tag_pct","tss_up_5kb_tags_kb","X5_utr_exons_tag_count","tes_down_1kb_tag_count","total_reads","X5_utr_exons_total_bases","X3_utr_exons_tag_count","tss_up_10kb_tag_count","tss_up_1kb_total_bases","cds_exons_tag_count","total_tags","X3_utr_exons_tags_kb","tss_up_1kb_tag_pct","tes_down_10kb_tag_pct","tes_down_10kb_total_bases","other_intergenic_tag_pct","tss_up_10kb_total_bases","tss_up_5kb_tag_count","tss_up_1kb_tags_kb","X5_utr_exons_tags_kb","cds_exons_tags_kb"
"11","SRR6703979","time","109FR",16336993,162687,5.19301766385747,100292,710659,710659,137074997,674615,1161744,2.37744018655033,5533545,1.26033010020282,0.54425344874168,14.1181961377198,9576275,20315497,1754401,0.712741285461431,5273334,3524561,1754401,2.25685850942527,16813800,1161744,5.86917697619265,376735,213051,162687,26643098,867788,1552285,674615,3384361,4220179,29891772,1552285,0.335517078077539,3.88650094079401,32612596,67.9635084865494,31930965,376735,100292,213051,4220179
"12","SRR6703980","time","110SR",16336993,221547,5.31507679527785,111230,950295,950295,137074997,908017,1558521,2.71870895576852,5533545,1.39966327655446,0.633826141380991,13.7021706901034,11760315,23193592,2414060,0.665007205060081,5273334,3524561,2414060,2.59775538110804,16813800,1558521,6.90640963254837,489237,232446,221547,31161704,867788,1857827,908017,3384361,4789444,34953907,1857827,0.318219076339592,4.45878911333145,32612596,66.3547911825708,31930965,489237,111230,232446,4789444
"13","SRR6703981","time","110FR",16336993,240332,5.29308849222412,124994,1031016,1031016,137074997,935154,1696891,2.67538921703056,5533545,1.30732383308975,0.623638858472991,13.3322825695492,12786071,25750976,2729422,0.640775615215146,5273334,3524561,2729422,2.4266363740844,16813800,1696891,7.08259249858973,503804,246936,240332,34597897,867788,2039800,935154,3384361,5137868,38537047,2039800,0.324347633590088,4.40327199953852,32612596,66.8213524507988,31930965,503804,124994,246936,5137868
"14","SRR6703982","frozen","501",16336993,256485,4.12742208169382,168945,1186117,1186117,137074997,1164392,1951262,2.35838232442338,5533545,1.27511476643313,0.509974724651725,13.5534892075581,15338024,34955645,2863410,0.927713187916356,5273334,3524561,2863410,2.3151860326595,16813800,1951262,5.69338061218003,641302,466581,256485,44781184,867788,2075832,1164392,3384361,6816547,50293669,2075832,0.335917031624796,3.87973683128984,32612596,69.5030720467023,31930965,641302,168945,466581,6816547
"15","SRR6703983","frozen","501f",16336993,285573,4.59442793194628,167906,1264578,1264578,137074997,1246996,2076852,2.52936846695122,5533545,1.38062397241368,0.571193980294345,14.1493105420855,16261079,33734721,3200806,0.730747382780154,5273334,3524561,3200806,2.49420151292709,16813800,2076852,6.40214978058157,690254,365343,285573,44314283,867788,2297021,1246996,3384361,7074061,49995800,2297021,0.335840210577689,4.154052940447,32612596,67.4751099092324,31930965,690254,167906,365343,7074061
"16","SRR6703984","frozen","506",16336993,250293,4.66206997344918,158750,1107288,1107288,137074997,1090935,1803312,2.39961870939249,5533545,1.31669478532477,0.54241332483507,14.0009051166003,14545153,31599178,2632249,0.881477726917311,5273334,3524561,2632249,2.36417990326916,16813800,1803312,5.70438219160659,607580,406752,250293,40936245,867788,2151281,1090935,3384361,6460624,46144331,2151281,0.344029258978746,3.90798167601563,32612596,68.4790034121418,31930965,607580,158750,406752,6460624
"17","SRR6703985","frozen","506f",16336993,299523,4.39170601406761,188732,1349352,1349352,137074997,1311522,2196621,2.56596708709722,5533545,1.40555304994787,0.569581665739274,14.4447882801227,16915394,35671095,3065201,0.830249382117905,5273334,3524561,3065201,2.49402845662505,16813800,2196621,5.82887555014369,739131,436599,299523,46352223,867788,2309444,1311522,3384361,7596007,52586489,2309444,0.358898271379175,4.17715850928933,32612596,67.8331938076337,31930965,739131,188732,436599,7596007
"18","SRR6703986","frozen","507",16336993,250403,4.13668204114461,159389,1126252,1126252,137074997,1089251,1858372,2.3050705813917,5533545,1.22438787155779,0.512493286397916,12.775211635292,14816049,34043713,3187899,0.85431443566999,5273334,3524561,3187899,2.22934160014942,16813800,1858372,6.52458970225848,598233,417416,250403,43844200,867788,2021173,1089251,3384361,6241938,48859762,2021173,0.326217307403176,3.80348148236989,32612596,69.6763791031156,31930965,598233,159389,417416,6241938
"19","SRR6703987","frozen","507f",16336993,330321,4.30923586600422,200158,1443969,1443969,137074997,1445423,2390055,2.3608779090086,5533545,1.28826586606553,0.540072225776059,13.259491640081,19018525,42143850,3966672,0.769957020145146,5273334,3524561,3966672,2.36325518752338,16813800,2390055,6.48547738703737,787934,470924,330321,54653322,867788,2635631,1445423,3384361,8109820,61162375,2635631,0.327256748940832,3.9077210458227,32612596,68.9048618533862,31930965,787934,200158,470924,8109820
"20","SRR6703988","frozen","510",16336993,256971,4.15097428345632,151257,1170904,1170904,137074997,1149502,1964086,2.33869813953593,5533545,1.21811821947883,0.513259498314711,13.5584627697166,15621588,34444899,3204758,0.872338017244949,5273334,3524561,3204758,2.29595098214101,16813800,1964086,6.40100432850421,609869,436749,256971,44619971,867788,2078247,1149502,3384361,6788246,50066487,2078247,0.302112269231113,3.92295548916783,32612596,68.7983141297691,31930965,609869,151257,436749,6788246
"21","SRR6703989","frozen","510f",16336993,222134,3.95065296990595,116856,989273,989273,137074997,950622,1651374,2.23577429160034,5533545,1.13773348947041,0.502026727192949,11.3417531791949,12579779,31667666,2927698,0.640909322560885,5273334,3524561,2927698,2.1484223552343,16813800,1651374,6.61664871271098,503418,283586,222134,40191784,867788,1748063,950622,3384361,5018436,44247445,1748063,0.264096604900012,3.73213413791463,32612596,71.5694793224784,31930965,503418,116856,283586,5018436
