Total Reads                   47208104
Total Tags                    53862328
Total Assigned Tags           18260164
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             8528812             1541.29           
5'UTR_Exons         867788              452648              521.61            
3'UTR_Exons         5273334             3005291             569.90            
Introns             137074997           2695207             19.66             
TSS_up_1kb          3384361             182805              54.01             
TSS_up_5kb          16336993            744210              45.55             
TSS_up_10kb         31930965            1362797             42.68             
TES_down_1kb        3524561             314054              89.10             
TES_down_5kb        16813800            1380074             82.08             
TES_down_10kb       32612596            2215409             67.93             
=====================================================================
