Total Reads                   33459562
Total Tags                    37982845
Total Assigned Tags           12600014
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             5658392             1022.56           
5'UTR_Exons         867788              309830              357.03            
3'UTR_Exons         5273334             2165344             410.62            
Introns             137074997           2058003             15.01             
TSS_up_1kb          3384361             118735              35.08             
TSS_up_5kb          16336993            499564              30.58             
TSS_up_10kb         31930965            923194              28.91             
TES_down_1kb        3524561             213690              60.63             
TES_down_5kb        16813800            925212              55.03             
TES_down_10kb       32612596            1485251             45.54             
=====================================================================
