Total Reads                   47234066
Total Tags                    52777962
Total Assigned Tags           16785959
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             6942856             1254.68           
5'UTR_Exons         867788              354088              408.03            
3'UTR_Exons         5273334             2556817             484.86            
Introns             137074997           3541114             25.83             
TSS_up_1kb          3384361             159861              47.24             
TSS_up_5kb          16336993            680674              41.66             
TSS_up_10kb         31930965            1244902             38.99             
TES_down_1kb        3524561             291867              82.81             
TES_down_5kb        16813800            1298143             77.21             
TES_down_10kb       32612596            2146182             65.81             
=====================================================================
