Total Reads                   35550252
Total Tags                    39727756
Total Assigned Tags           12917015
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             5308790             959.38            
5'UTR_Exons         867788              277122              319.34            
3'UTR_Exons         5273334             2020280             383.11            
Introns             137074997           2708362             19.76             
TSS_up_1kb          3384361             114843              33.93             
TSS_up_5kb          16336993            505218              30.92             
TSS_up_10kb         31930965            953250              29.85             
TES_down_1kb        3524561             225852              64.08             
TES_down_5kb        16813800            990227              58.89             
TES_down_10kb       32612596            1649211             50.57             
=====================================================================
