Total Reads                   20076721
Total Tags                    22308816
Total Assigned Tags           7154964
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             2916361             527.03            
5'UTR_Exons         867788              152048              175.21            
3'UTR_Exons         5273334             1120940             212.57            
Introns             137074997           1544508             11.27             
TSS_up_1kb          3384361             64819               19.15             
TSS_up_5kb          16336993            264908              16.22             
TSS_up_10kb         31930965            501755              15.71             
TES_down_1kb        3524561             125248              35.54             
TES_down_5kb        16813800            549117              32.66             
TES_down_10kb       32612596            919352              28.19             
=====================================================================
