Total Reads                   31161704
Total Tags                    34953907
Total Assigned Tags           11760315
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             4789444             865.53            
5'UTR_Exons         867788              232446              267.86            
3'UTR_Exons         5273334             1857827             352.31            
Introns             137074997           2414060             17.61             
TSS_up_1kb          3384361             111230              32.87             
TSS_up_5kb          16336993            489237              29.95             
TSS_up_10kb         31930965            908017              28.44             
TES_down_1kb        3524561             221547              62.86             
TES_down_5kb        16813800            950295              56.52             
TES_down_10kb       32612596            1558521             47.79             
=====================================================================
