Total Reads                   26643098
Total Tags                    29891772
Total Assigned Tags           9576275
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             4220179             762.65            
5'UTR_Exons         867788              213051              245.51            
3'UTR_Exons         5273334             1552285             294.36            
Introns             137074997           1754401             12.80             
TSS_up_1kb          3384361             100292              29.63             
TSS_up_5kb          16336993            376735              23.06             
TSS_up_10kb         31930965            674615              21.13             
TES_down_1kb        3524561             162687              46.16             
TES_down_5kb        16813800            710659              42.27             
TES_down_10kb       32612596            1161744             35.62             
=====================================================================
