Total Reads                   54653322
Total Tags                    61162375
Total Assigned Tags           19018525
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             8109820             1465.57           
5'UTR_Exons         867788              470924              542.67            
3'UTR_Exons         5273334             2635631             499.80            
Introns             137074997           3966672             28.94             
TSS_up_1kb          3384361             200158              59.14             
TSS_up_5kb          16336993            787934              48.23             
TSS_up_10kb         31930965            1445423             45.27             
TES_down_1kb        3524561             330321              93.72             
TES_down_5kb        16813800            1443969             85.88             
TES_down_10kb       32612596            2390055             73.29             
=====================================================================
