Total Reads                   40936245
Total Tags                    46144331
Total Assigned Tags           14545153
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             6460624             1167.54           
5'UTR_Exons         867788              406752              468.72            
3'UTR_Exons         5273334             2151281             407.95            
Introns             137074997           2632249             19.20             
TSS_up_1kb          3384361             158750              46.91             
TSS_up_5kb          16336993            607580              37.19             
TSS_up_10kb         31930965            1090935             34.17             
TES_down_1kb        3524561             250293              71.01             
TES_down_5kb        16813800            1107288             65.86             
TES_down_10kb       32612596            1803312             55.29             
=====================================================================
