Total Reads                   47696155
Total Tags                    54025574
Total Assigned Tags           17846850
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             7800962             1409.76           
5'UTR_Exons         867788              391532              451.18            
3'UTR_Exons         5273334             2709225             513.76            
Introns             137074997           3341908             24.38             
TSS_up_1kb          3384361             175744              51.93             
TSS_up_5kb          16336993            745211              45.61             
TSS_up_10kb         31930965            1342273             42.04             
TES_down_1kb        3524561             311449              88.37             
TES_down_5kb        16813800            1379574             82.05             
TES_down_10kb       32612596            2260950             69.33             
=====================================================================
