Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
SRR6703961_concentration_1_rep1_1	0.7237186951611921
SRR6703961_concentration_1_rep1_2	1.7704202227427135
SRR6703962_concentration_100_rep1_1	1.028549107820123
SRR6703962_concentration_100_rep1_2	2.078720636375758
SRR6703963_concentration_250_rep1_1	0.8406250958181473
SRR6703963_concentration_250_rep1_2	1.826655137449517
SRR6703964_concentration_500_rep1_1	1.3716844406173412
SRR6703964_concentration_500_rep1_2	2.1337590249718486
SRR6703965_concentration_1_rep2_1	0.5204088857204938
SRR6703965_concentration_1_rep2_2	1.1902900627684014
SRR6703966_concentration_100_rep2_1	1.0205978837822953
SRR6703966_concentration_100_rep2_2	2.0097286170933453
SRR6703967_concentration_100_rep2_1	0.8443840174908565
SRR6703967_concentration_100_rep2_2	1.7284586554421177
SRR6703968_concentration_500_rep2_1	1.0489558414131916
SRR6703968_concentration_500_rep2_2	1.9671703539392742
SRR6703969_time_101SR_1	0.5763405732677856
SRR6703969_time_101SR_2	1.7772964022016786
SRR6703970_time_101FR_1	0.5755691230209554
SRR6703970_time_101FR_2	1.4564329778811134
SRR6703971_time_103SR_1	0.6225902928928788
SRR6703971_time_103SR_2	1.7674892022425615
SRR6703972_time_103FR_1	1.1172822652989587
SRR6703973_time_104SR_1	0.7203828579025348
SRR6703973_time_104SR_2	1.99186297689746
SRR6703974_time_104FR_1	0.7161071577876036
SRR6703974_time_104FR_2	1.7095787516058705
SRR6703975_time_107SR_1	0.5423021518614058
SRR6703975_time_107SR_2	1.687108065275202
SRR6703976_time_107FR_1	0.5347872478016109
SRR6703976_time_107FR_2	1.3934709679604866
SRR6703977_time_107SRN_1	0.4024432411519641
SRR6703977_time_107SRN_2	1.3096631128423262
SRR6703978_time_109SR_1	0.5783382905499764
SRR6703978_time_109SR_2	1.6839449584956443
SRR6703979_time_109FR_1	1.1143157126150773
SRR6703980_time_110SR_1	0.7593309673020496
SRR6703980_time_110SR_2	1.9802715530853907
SRR6703981_time_110FR_1	1.2296795632555118
SRR6703982_frozen_501_1	0.7579829288078525
SRR6703982_frozen_501_2	2.3655332125938067
SRR6703983_frozen_501f_1	0.4894492028131201
SRR6703983_frozen_501f_2	1.5808755482442167
SRR6703984_frozen_506_1	0.5269640745014957
SRR6703984_frozen_506_2	1.8315576497577348
SRR6703985_frozen_506f_1	0.4947680784493864
SRR6703985_frozen_506f_2	1.7383769838777048
SRR6703986_frozen_507_1	0.6630066071192557
SRR6703986_frozen_507_2	2.276648314277539
SRR6703987_frozen_507f_1	0.6180660829843482
SRR6703987_frozen_507f_2	1.9176253673030268
SRR6703988_frozen_510_1	0.5815412031282199
SRR6703988_frozen_510_2	1.950323956897512
SRR6703989_frozen_510f_1	0.5353547701422526
SRR6703989_frozen_510f_2	1.849510411486607
