Total Reads                   43844200
Total Tags                    48859762
Total Assigned Tags           14816049
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             6241938             1128.02           
5'UTR_Exons         867788              417416              481.01            
3'UTR_Exons         5273334             2021173             383.28            
Introns             137074997           3187899             23.26             
TSS_up_1kb          3384361             159389              47.10             
TSS_up_5kb          16336993            598233              36.62             
TSS_up_10kb         31930965            1089251             34.11             
TES_down_1kb        3524561             250403              71.05             
TES_down_5kb        16813800            1126252             66.98             
TES_down_10kb       32612596            1858372             56.98             
=====================================================================
