Total Reads                   44944824
Total Tags                    50757985
Total Assigned Tags           16808683
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             7342905             1326.98           
5'UTR_Exons         867788              375000              432.13            
3'UTR_Exons         5273334             2557763             485.04            
Introns             137074997           3140709             22.91             
TSS_up_1kb          3384361             167059              49.36             
TSS_up_5kb          16336993            691290              42.31             
TSS_up_10kb         31930965            1254119             39.28             
TES_down_1kb        3524561             296290              84.06             
TES_down_5kb        16813800            1308083             77.80             
TES_down_10kb       32612596            2138187             65.56             
=====================================================================
