Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc
SRR6703977_time_107SRN_2_fastqc | SRR6703977_time_107SRN_2	9.090909090909092	51.0	17105279.0	11.551161437717738	47.0
SRR6703977_time_107SRN_2_val_2	9.090909090909092	50.66759939026553	16973946.0	11.262729463665593	47.0
SRR6703978_time_109SR_1	9.090909090909092	51.0	16379507.0	10.727922556164401	48.0
SRR6703978_time_109SR_1_fastqc | SRR6703978_time_109SR_1	9.090909090909092	51.0	16379507.0	10.727922556164401	48.0
SRR6703978_time_109SR_1_val_1	9.090909090909092	50.785633774603575	16204507.0	10.337420449516415	47.0
SRR6703978_time_109SR_2	9.090909090909092	51.0	16379507.0	10.563111626421033	48.0
SRR6703978_time_109SR_2_fastqc | SRR6703978_time_109SR_2	9.090909090909092	51.0	16379507.0	10.563111626421033	48.0
SRR6703978_time_109SR_2_val_2	9.090909090909092	50.611688834470556	16204507.0	10.247551220321995	47.0
SRR6703979_time_109FR_1	10.0	49.534761658467936	27054391.0	38.340933881804276	48.0
SRR6703979_time_109FR_1_fastqc | SRR6703979_time_109FR_1	10.0	50.0	27111986.0	39.533824222583334	48.0
SRR6703980_time_110SR_1	9.090909090909092	51.0	16177102.0	10.352469700260116	48.0
SRR6703980_time_110SR_1_fastqc | SRR6703980_time_110SR_1	9.090909090909092	51.0	16177102.0	10.352469700260116	48.0
SRR6703980_time_110SR_1_val_1	9.090909090909092	50.785932350392464	15952672.0	10.015312095371371	48.0
SRR6703980_time_110SR_2	9.090909090909092	51.0	16177102.0	10.117370844224695	48.0
SRR6703980_time_110SR_2_fastqc | SRR6703980_time_110SR_2	9.090909090909092	51.0	16177102.0	10.117370844224695	48.0
SRR6703980_time_110SR_2_val_2	9.090909090909092	50.61784677827012	15952672.0	9.809854853773714	48.0
SRR6703981_time_110FR_1	10.0	49.5405676608477	35205493.0	35.70855134938475	48.0
SRR6703981_time_110FR_1_fastqc | SRR6703981_time_110FR_1	10.0	50.0	35324819.0	37.06613904614113	48.0
