Total Reads                   44781184
Total Tags                    50293669
Total Assigned Tags           15338024
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             6816547             1231.86           
5'UTR_Exons         867788              466581              537.67            
3'UTR_Exons         5273334             2075832             393.65            
Introns             137074997           2863410             20.89             
TSS_up_1kb          3384361             168945              49.92             
TSS_up_5kb          16336993            641302              39.25             
TSS_up_10kb         31930965            1164392             36.47             
TES_down_1kb        3524561             256485              72.77             
TES_down_5kb        16813800            1186117             70.54             
TES_down_10kb       32612596            1951262             59.83             
=====================================================================
