Total Reads                   31786660
Total Tags                    35920579
Total Assigned Tags           11685362
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             5210709             941.66            
5'UTR_Exons         867788              261720              301.59            
3'UTR_Exons         5273334             1881934             356.88            
Introns             137074997           2055362             14.99             
TSS_up_1kb          3384361             118478              35.01             
TSS_up_5kb          16336993            487262              29.83             
TSS_up_10kb         31930965            871289              27.29             
TES_down_1kb        3524561             198835              56.41             
TES_down_5kb        16813800            861204              51.22             
TES_down_10kb       32612596            1404348             43.06             
=====================================================================
