Total Reads                   44314283
Total Tags                    49995800
Total Assigned Tags           16261079
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             7074061             1278.40           
5'UTR_Exons         867788              365343              421.00            
3'UTR_Exons         5273334             2297021             435.59            
Introns             137074997           3200806             23.35             
TSS_up_1kb          3384361             167906              49.61             
TSS_up_5kb          16336993            690254              42.25             
TSS_up_10kb         31930965            1246996             39.05             
TES_down_1kb        3524561             285573              81.02             
TES_down_5kb        16813800            1264578             75.21             
TES_down_10kb       32612596            2076852             63.68             
=====================================================================
