Total Reads                   49165325
Total Tags                    54800243
Total Assigned Tags           17459019
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             7231121             1306.78           
5'UTR_Exons         867788              375576              432.80            
3'UTR_Exons         5273334             2648582             502.26            
Introns             137074997           3667209             26.75             
TSS_up_1kb          3384361             166472              49.19             
TSS_up_5kb          16336993            697600              42.70             
TSS_up_10kb         31930965            1288175             40.34             
TES_down_1kb        3524561             306294              86.90             
TES_down_5kb        16813800            1362905             81.06             
TES_down_10kb       32612596            2248356             68.94             
=====================================================================
