Total Reads                   40191784
Total Tags                    44247445
Total Assigned Tags           12579779
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             5018436             906.91            
5'UTR_Exons         867788              283586              326.79            
3'UTR_Exons         5273334             1748063             331.49            
Introns             137074997           2927698             21.36             
TSS_up_1kb          3384361             116856              34.53             
TSS_up_5kb          16336993            503418              30.81             
TSS_up_10kb         31930965            950622              29.77             
TES_down_1kb        3524561             222134              63.02             
TES_down_5kb        16813800            989273              58.84             
TES_down_10kb       32612596            1651374             50.64             
=====================================================================
