Total Reads                   44619971
Total Tags                    50066487
Total Assigned Tags           15621588
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             6788246             1226.74           
5'UTR_Exons         867788              436749              503.29            
3'UTR_Exons         5273334             2078247             394.10            
Introns             137074997           3204758             23.38             
TSS_up_1kb          3384361             151257              44.69             
TSS_up_5kb          16336993            609869              37.33             
TSS_up_10kb         31930965            1149502             36.00             
TES_down_1kb        3524561             256971              72.91             
TES_down_5kb        16813800            1170904             69.64             
TES_down_10kb       32612596            1964086             60.22             
=====================================================================
