Total Reads                   47696844
Total Tags                    54590159
Total Assigned Tags           18483455
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             8633851             1560.27           
5'UTR_Exons         867788              449183              517.62            
3'UTR_Exons         5273334             3046451             577.71            
Introns             137074997           2739119             19.98             
TSS_up_1kb          3384361             182706              53.99             
TSS_up_5kb          16336993            765728              46.87             
TSS_up_10kb         31930965            1387810             43.46             
TES_down_1kb        3524561             316783              89.88             
TES_down_5kb        16813800            1386011             82.43             
TES_down_10kb       32612596            2227041             68.29             
=====================================================================
