Total Reads                   46352223
Total Tags                    52586489
Total Assigned Tags           16915394
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             7596007             1372.72           
5'UTR_Exons         867788              436599              503.12            
3'UTR_Exons         5273334             2309444             437.95            
Introns             137074997           3065201             22.36             
TSS_up_1kb          3384361             188732              55.77             
TSS_up_5kb          16336993            739131              45.24             
TSS_up_10kb         31930965            1311522             41.07             
TES_down_1kb        3524561             299523              84.98             
TES_down_5kb        16813800            1349352             80.25             
TES_down_10kb       32612596            2196621             67.35             
=====================================================================
